IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度

211.22.240.107,30686,true,KHH,Asia Pacific,Kaohsiung City,87 ms,17084 kB/s

154.3.37.27,9004,true,SIN,Asia Pacific,Singapore,111 ms,13420 kB/s
45.66.128.216,2000,true,HKG,Asia Pacific,Hong Kong,79 ms,13375 kB/s
31.22.116.134,2096,true,SJC,North America,San Jose,171 ms,12355 kB/s
91.193.58.98,2096,true,SJC,North America,San Jose,175 ms,11991 kB/s
118.163.128.81,17333,true,KHH,Asia Pacific,Kaohsiung City,102 ms,11962 kB/s
14.102.228.210,2096,true,SJC,North America,San Jose,167 ms,11747 kB/s
20.6.32.20,4431,true,SIN,Asia Pacific,Singapore,111 ms,11687 kB/s
88.216.66.193,443,true,SJC,North America,San Jose,179 ms,11618 kB/s
216.205.52.109,2083,true,SJC,North America,San Jose,178 ms,11533 kB/s
94.242.229.9,2083,true,SJC,North America,San Jose,172 ms,11390 kB/s
185.18.250.185,2053,true,SJC,North America,San Jose,178 ms,11349 kB/s
94.247.142.245,8443,true,SJC,North America,San Jose,182 ms,11318 kB/s
217.163.76.89,2053,true,SJC,North America,San Jose,174 ms,11175 kB/s
140.99.233.156,2087,true,SJC,North America,San Jose,176 ms,11003 kB/s
89.116.250.6,2083,true,SJC,North America,San Jose,176 ms,10879 kB/s
204.93.210.160,2083,true,SJC,North America,San Jose,180 ms,10873 kB/s
154.197.121.248,8443,true,SJC,North America,San Jose,176 ms,9998 kB/s
1.237.205.4,10323,true,ICN,Asia Pacific,Seoul,88 ms,9596 kB/s
1.240.157.125,10455,true,ICN,Asia Pacific,Seoul,75 ms,9587 kB/s
8.219.112.75,2053,true,SIN,Asia Pacific,Singapore,224 ms,9354 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,230 ms,9303 kB/s
185.176.26.61,2087,true,SJC,North America,San Jose,188 ms,9280 kB/s
181.214.1.242,2053,true,SJC,North America,San Jose,185 ms,9148 kB/s
