IP地址,端口,TLS,数据中心,地区,城市,国家,网络延迟,下载速度
47.74.43.95,2087,true,HKG,Asia Pacific,Hong Kong,HK,150 ms,11876 kB/s
192.9.246.112,8443,true,SJC,North America,San Jose,US,148 ms,11341 kB/s
47.74.12.139,2096,true,HKG,Asia Pacific,Hong Kong,HK,160 ms,11305 kB/s
47.74.27.211,2096,true,HKG,Asia Pacific,Hong Kong,HK,157 ms,11187 kB/s
8.222.188.56,2096,true,SIN,Asia Pacific,Singapore,SG,189 ms,11144 kB/s
47.74.27.211,2083,true,HKG,Asia Pacific,Hong Kong,HK,158 ms,11055 kB/s
8.222.169.182,2087,true,SIN,Asia Pacific,Singapore,SG,207 ms,10989 kB/s
8.219.13.143,2087,true,SIN,Asia Pacific,Singapore,SG,199 ms,10957 kB/s
8.222.249.190,8443,true,SIN,Asia Pacific,Singapore,SG,193 ms,10944 kB/s
8.222.249.190,2083,true,SIN,Asia Pacific,Singapore,SG,187 ms,10916 kB/s
47.74.13.94,2083,true,NRT,Asia Pacific,Tokyo,JP,68 ms,10897 kB/s
47.245.113.117,2053,true,SIN,Asia Pacific,Singapore,SG,189 ms,10829 kB/s
8.219.213.133,2096,true,SIN,Asia Pacific,Singapore,SG,190 ms,10748 kB/s
192.9.135.122,8443,true,SJC,North America,San Jose,US,141 ms,10621 kB/s
8.219.58.64,8443,true,SIN,Asia Pacific,Singapore,SG,187 ms,10539 kB/s
138.2.80.183,2053,true,SIN,Asia Pacific,Singapore,SG,212 ms,10399 kB/s
158.178.246.169,8443,true,SIN,Asia Pacific,Singapore,SG,206 ms,10314 kB/s
8.222.160.176,2053,true,SIN,Asia Pacific,Singapore,SG,224 ms,10245 kB/s
8.222.130.137,2083,true,SIN,Asia Pacific,Singapore,SG,216 ms,10199 kB/s
8.222.221.109,2083,true,SIN,Asia Pacific,Singapore,SG,200 ms,10186 kB/s
8.219.222.98,2053,true,SIN,Asia Pacific,Singapore,SG,206 ms,10176 kB/s
8.222.162.45,2053,true,SIN,Asia Pacific,Singapore,SG,204 ms,10162 kB/s
8.222.168.155,2053,true,SIN,Asia Pacific,Singapore,SG,193 ms,10073 kB/s
129.146.46.164,443,true,LAX,North America,Los Angeles,US,200 ms,10060 kB/s
8.222.154.50,2053,true,SIN,Asia Pacific,Singapore,SG,199 ms,10046 kB/s
138.2.80.183,2083,true,SIN,Asia Pacific,Singapore,SG,214 ms,10032 kB/s
8.222.147.203,2083,true,SIN,Asia Pacific,Singapore,SG,194 ms,9966 kB/s
129.150.63.96,2096,true,SIN,Asia Pacific,Singapore,SG,209 ms,9881 kB/s
8.222.137.178,2096,true,SIN,Asia Pacific,Singapore,SG,203 ms,9875 kB/s
8.222.146.222,2053,true,SIN,Asia Pacific,Singapore,SG,211 ms,9806 kB/s
158.178.246.169,2053,true,SIN,Asia Pacific,Singapore,SG,204 ms,9736 kB/s
8.219.77.91,2096,true,SIN,Asia Pacific,Singapore,SG,206 ms,9732 kB/s
8.222.137.166,2083,true,SIN,Asia Pacific,Singapore,SG,208 ms,9706 kB/s
168.138.184.64,8443,true,SIN,Asia Pacific,Singapore,SG,213 ms,9633 kB/s
168.138.185.28,2096,true,SIN,Asia Pacific,Singapore,SG,204 ms,9624 kB/s
138.2.104.2,2083,true,SIN,Asia Pacific,Singapore,SG,214 ms,9620 kB/s
8.219.6.187,8443,true,SIN,Asia Pacific,Singapore,SG,187 ms,9605 kB/s
8.219.144.168,443,true,SIN,Asia Pacific,Singapore,SG,187 ms,9561 kB/s
129.150.63.96,2053,true,SIN,Asia Pacific,Singapore,SG,211 ms,9547 kB/s
158.178.246.169,2087,true,SIN,Asia Pacific,Singapore,SG,204 ms,9533 kB/s
108.165.169.221,8443,true,YVR,North America,Vancouver,CA,137 ms,9505 kB/s
158.178.241.45,2096,true,SIN,Asia Pacific,Singapore,SG,214 ms,9499 kB/s
8.219.200.145,2053,true,SIN,Asia Pacific,Singapore,SG,191 ms,9445 kB/s
168.138.184.64,2053,true,SIN,Asia Pacific,Singapore,SG,209 ms,9323 kB/s
158.178.242.56,2096,true,SIN,Asia Pacific,Singapore,SG,211 ms,9307 kB/s
150.136.241.40,8443,true,IAD,North America,Ashburn,US,194 ms,9263 kB/s
168.138.185.28,2083,true,SIN,Asia Pacific,Singapore,SG,210 ms,9197 kB/s
47.243.183.127,443,true,HKG,Asia Pacific,Hong Kong,HK,33 ms,9139 kB/s
8.219.43.243,8443,true,SIN,Asia Pacific,Singapore,SG,206 ms,9133 kB/s
158.178.242.56,2083,true,SIN,Asia Pacific,Singapore,SG,219 ms,9112 kB/s
47.243.183.127,2053,true,HKG,Asia Pacific,Hong Kong,HK,34 ms,8987 kB/s
47.74.12.139,2053,true,HKG,Asia Pacific,Hong Kong,HK,155 ms,8891 kB/s
8.219.222.8,2053,true,SIN,Asia Pacific,Singapore,SG,198 ms,8861 kB/s
152.69.199.70,8443,true,KIX,Asia Pacific,Osaka,JP,145 ms,8837 kB/s
129.150.63.96,2087,true,SIN,Asia Pacific,Singapore,SG,221 ms,8742 kB/s
138.2.80.183,2096,true,SIN,Asia Pacific,Singapore,SG,214 ms,8721 kB/s
168.138.185.28,2087,true,SIN,Asia Pacific,Singapore,SG,210 ms,8700 kB/s
168.138.184.64,2096,true,SIN,Asia Pacific,Singapore,SG,207 ms,8658 kB/s
8.222.184.198,2083,true,SIN,Asia Pacific,Singapore,SG,186 ms,8628 kB/s
158.178.241.45,2083,true,SIN,Asia Pacific,Singapore,SG,227 ms,8558 kB/s
168.138.161.0,2053,true,SIN,Asia Pacific,Singapore,SG,211 ms,8537 kB/s
47.243.183.127,2087,true,HKG,Asia Pacific,Hong Kong,HK,36 ms,8468 kB/s
8.222.187.107,2087,true,SIN,Asia Pacific,Singapore,SG,212 ms,8349 kB/s
138.2.80.183,8443,true,SIN,Asia Pacific,Singapore,SG,205 ms,8103 kB/s
8.219.51.211,2087,true,SIN,Asia Pacific,Singapore,SG,194 ms,8099 kB/s
8.222.152.165,443,true,SIN,Asia Pacific,Singapore,SG,206 ms,8000 kB/s
8.219.43.243,2087,true,SIN,Asia Pacific,Singapore,SG,187 ms,7995 kB/s
8.219.51.211,2053,true,SIN,Asia Pacific,Singapore,SG,213 ms,7962 kB/s
193.123.94.216,2087,true,JIB,Africa,Djibouti,DJ,215 ms,7906 kB/s
129.150.63.96,2083,true,SIN,Asia Pacific,Singapore,SG,217 ms,7860 kB/s
8.222.219.252,2083,true,SIN,Asia Pacific,Singapore,SG,199 ms,7756 kB/s
138.2.36.157,8443,true,KIX,Asia Pacific,Osaka,JP,160 ms,7647 kB/s
47.74.5.150,2096,true,SIN,Asia Pacific,Singapore,SG,147 ms,7596 kB/s
8.222.168.155,8443,true,SIN,Asia Pacific,Singapore,SG,215 ms,7549 kB/s
168.138.185.28,8443,true,SIN,Asia Pacific,Singapore,SG,217 ms,7524 kB/s
8.219.93.85,2087,true,SIN,Asia Pacific,Singapore,SG,190 ms,7521 kB/s
8.222.155.242,2096,true,SIN,Asia Pacific,Singapore,SG,188 ms,7353 kB/s
8.222.174.108,2096,true,SIN,Asia Pacific,Singapore,SG,207 ms,7311 kB/s
143.47.241.26,443,true,FRA,Europe,Frankfurt,DE,236 ms,7291 kB/s
8.222.150.197,2096,true,SIN,Asia Pacific,Singapore,SG,207 ms,7270 kB/s
47.245.12.38,2087,true,HKG,Asia Pacific,Hong Kong,HK,161 ms,7255 kB/s
47.245.52.165,2083,true,HKG,Asia Pacific,Hong Kong,HK,159 ms,7228 kB/s
8.219.213.133,8443,true,SIN,Asia Pacific,Singapore,SG,197 ms,7220 kB/s
8.219.253.185,2087,true,SIN,Asia Pacific,Singapore,SG,197 ms,7206 kB/s
192.18.145.19,2096,true,YYZ,North America,Toronto,CA,196 ms,7176 kB/s
141.147.69.195,443,true,FRA,Europe,Frankfurt,DE,236 ms,7067 kB/s
144.24.167.149,443,true,FRA,Europe,Frankfurt,DE,242 ms,7058 kB/s
130.61.205.141,443,true,FRA,Europe,Frankfurt,DE,242 ms,7040 kB/s
144.21.57.92,443,true,FRA,Europe,Frankfurt,DE,248 ms,7013 kB/s
8.222.152.165,2096,true,SIN,Asia Pacific,Singapore,SG,190 ms,7012 kB/s
8.222.137.178,2053,true,SIN,Asia Pacific,Singapore,SG,181 ms,6991 kB/s
8.222.144.50,2083,true,SIN,Asia Pacific,Singapore,SG,187 ms,6903 kB/s
138.2.104.2,2087,true,SIN,Asia Pacific,Singapore,SG,223 ms,6831 kB/s
47.74.13.94,2096,true,NRT,Asia Pacific,Tokyo,JP,67 ms,6726 kB/s
8.217.193.25,2096,true,HKG,Asia Pacific,Hong Kong,HK,34 ms,6662 kB/s
8.222.147.203,2053,true,SIN,Asia Pacific,Singapore,SG,193 ms,6517 kB/s
47.74.43.95,2096,true,HKG,Asia Pacific,Hong Kong,HK,154 ms,6494 kB/s
8.222.131.102,2053,true,SIN,Asia Pacific,Singapore,SG,192 ms,6493 kB/s
158.178.242.5,2053,true,SIN,Asia Pacific,Singapore,SG,209 ms,6446 kB/s
158.178.241.45,8443,true,SIN,Asia Pacific,Singapore,SG,210 ms,6402 kB/s
141.144.248.59,443,true,FRA,Europe,Frankfurt,DE,261 ms,6383 kB/s
8.219.63.193,8443,true,SIN,Asia Pacific,Singapore,SG,195 ms,6302 kB/s
8.219.58.64,2083,true,SIN,Asia Pacific,Singapore,SG,192 ms,6296 kB/s
141.147.72.51,443,true,FRA,Europe,Frankfurt,DE,268 ms,6259 kB/s
8.222.136.247,2087,true,SIN,Asia Pacific,Singapore,SG,194 ms,6247 kB/s
8.222.145.110,2096,true,SIN,Asia Pacific,Singapore,SG,197 ms,6204 kB/s
132.226.130.11,443,true,FRA,Europe,Frankfurt,DE,242 ms,6192 kB/s
8.218.188.129,8443,true,HKG,Asia Pacific,Hong Kong,HK,36 ms,6145 kB/s
8.222.204.128,443,true,SIN,Asia Pacific,Singapore,SG,192 ms,6032 kB/s
8.222.140.185,2083,true,SIN,Asia Pacific,Singapore,SG,184 ms,6007 kB/s
8.219.43.243,2053,true,SIN,Asia Pacific,Singapore,SG,188 ms,5985 kB/s
8.222.137.178,8443,true,SIN,Asia Pacific,Singapore,SG,201 ms,5978 kB/s
8.222.147.203,2096,true,SIN,Asia Pacific,Singapore,SG,214 ms,5948 kB/s
152.70.49.208,443,true,FRA,Europe,Frankfurt,DE,254 ms,5857 kB/s
141.147.13.115,443,true,SIN,Asia Pacific,Singapore,SG,235 ms,5837 kB/s
8.219.174.213,2096,true,SIN,Asia Pacific,Singapore,SG,211 ms,5819 kB/s
8.222.131.102,2087,true,SIN,Asia Pacific,Singapore,SG,185 ms,5747 kB/s
150.230.212.9,2053,true,NRT,Asia Pacific,Tokyo,JP,102 ms,5731 kB/s
8.219.60.130,2053,true,SIN,Asia Pacific,Singapore,SG,186 ms,5719 kB/s
8.219.178.225,2096,true,SIN,Asia Pacific,Singapore,SG,213 ms,5698 kB/s
8.219.134.117,2083,true,SIN,Asia Pacific,Singapore,SG,227 ms,5614 kB/s
8.219.210.64,2053,true,SIN,Asia Pacific,Singapore,SG,211 ms,5583 kB/s
138.2.160.118,443,true,FRA,Europe,Frankfurt,DE,265 ms,5548 kB/s
158.101.206.70,2053,true,AMS,Europe,Amsterdam,NL,248 ms,5544 kB/s
141.147.110.38,443,true,FRA,Europe,Frankfurt,DE,266 ms,5540 kB/s
8.222.188.56,2087,true,SIN,Asia Pacific,Singapore,SG,183 ms,5445 kB/s
138.2.158.149,443,true,FRA,Europe,Frankfurt,DE,249 ms,5425 kB/s
8.219.99.169,8443,true,SIN,Asia Pacific,Singapore,SG,191 ms,5346 kB/s
155.248.174.71,2096,true,NRT,Asia Pacific,Tokyo,JP,104 ms,5315 kB/s
8.219.111.175,2096,true,SIN,Asia Pacific,Singapore,SG,230 ms,5311 kB/s
129.146.248.140,443,true,LAX,North America,Los Angeles,US,181 ms,5309 kB/s
8.219.184.92,2096,true,SIN,Asia Pacific,Singapore,SG,198 ms,5257 kB/s
8.219.249.38,2083,true,SIN,Asia Pacific,Singapore,SG,196 ms,5226 kB/s
8.219.213.84,2053,true,SIN,Asia Pacific,Singapore,SG,193 ms,5192 kB/s
130.162.41.103,443,true,FRA,Europe,Frankfurt,DE,231 ms,5165 kB/s
